Episode	Score	Epsilon
941	1060.0	0.05
942	1010.0	0.05
943	1100.0	0.05
944	1070.0	0.05
945	730.0	0.05
946	560.0	0.05
947	810.0	0.05
948	550.0	0.05
949	1040.0	0.05
950	1550.0	0.05
951	210.0	0.05
952	1660.0	0.05
953	990.0	0.05
954	1890.0	0.05
955	1150.0	0.05
956	2520.0	0.05
957	1240.0	0.05
958	1510.0	0.05
959	340.0	0.05
960	810.0	0.05
961	2140.0	0.05
962	730.0	0.05
963	330.0	0.05
964	1610.0	0.05
965	800.0	0.05
966	1070.0	0.05
967	1280.0	0.05
968	910.0	0.05
969	850.0	0.05
970	980.0	0.05
971	990.0	0.05
972	790.0	0.05
973	520.0	0.05
974	600.0	0.05
975	980.0	0.05
976	850.0	0.05
977	2570.0	0.05
978	800.0	0.05
979	760.0	0.05
980	1210.0	0.05
981	1220.0	0.05
982	520.0	0.05
983	1630.0	0.05
984	1020.0	0.05
985	730.0	0.05
986	530.0	0.05
987	880.0	0.05
988	770.0	0.05
989	810.0	0.05
990	660.0	0.05
991	560.0	0.05
992	460.0	0.05
993	1390.0	0.05
994	1800.0	0.05
995	1350.0	0.05
996	580.0	0.05
997	980.0	0.05
998	1060.0	0.05
999	740.0	0.05
1000	320.0	0.05
1001	790.0	0.05
1002	570.0	0.05
1003	590.0	0.05
1004	490.0	0.05
1005	560.0	0.05
1006	720.0	0.05
1007	1220.0	0.05
1008	600.0	0.05
1009	2070.0	0.05
1010	820.0	0.05
1011	560.0	0.05
1012	1050.0	0.05
1013	800.0	0.05
1014	450.0	0.05
1015	480.0	0.05
1016	750.0	0.05
1017	760.0	0.05
1018	2410.0	0.05
1019	720.0	0.05
1020	1470.0	0.05
1021	3810.0	0.05
1022	930.0	0.05
1023	830.0	0.05
1024	820.0	0.05
1025	1830.0	0.05
1026	780.0	0.05
1027	780.0	0.05
1028	910.0	0.05
1029	630.0	0.05
1030	960.0	0.05
1031	770.0	0.05
1032	1350.0	0.05
1033	760.0	0.05
1034	840.0	0.05
1035	1640.0	0.05
1036	1430.0	0.05
1037	1370.0	0.05
1038	310.0	0.05
1039	1310.0	0.05
1040	710.0	0.05
1041	380.0	0.05
1042	710.0	0.05
1043	980.0	0.05
1044	820.0	0.05
1045	1440.0	0.05
1046	1130.0	0.05
1047	1010.0	0.05
1048	1010.0	0.05
1049	1050.0	0.05
1050	700.0	0.05
1051	700.0	0.05
1052	1220.0	0.05
1053	1450.0	0.05
1054	830.0	0.05
1055	1050.0	0.05
1056	1310.0	0.05
1057	1900.0	0.05
1058	1160.0	0.05
1059	690.0	0.05
1060	1150.0	0.05
1061	1110.0	0.05
1062	1110.0	0.05
1063	720.0	0.05
1064	1080.0	0.05
1065	650.0	0.05
1066	520.0	0.05
1067	2040.0	0.05
1068	630.0	0.05
1069	1550.0	0.05
1070	350.0	0.05
1071	930.0	0.05
1072	610.0	0.05
1073	300.0	0.05
1074	1570.0	0.05
1075	930.0	0.05
1076	610.0	0.05
1077	460.0	0.05
1078	1920.0	0.05
1079	560.0	0.05
1080	1710.0	0.05
1081	950.0	0.05
1082	660.0	0.05
1083	1330.0	0.05
1084	470.0	0.05
1085	1250.0	0.05
1086	690.0	0.05
1087	2130.0	0.05
1088	630.0	0.05
1089	1160.0	0.05
1090	380.0	0.05
1091	1900.0	0.05
1092	570.0	0.05
1093	680.0	0.05
1094	1740.0	0.05
1095	1110.0	0.05
1096	760.0	0.05
1097	1890.0	0.05
1098	1870.0	0.05
1099	440.0	0.05
1100	1130.0	0.05
1101	1370.0	0.05
1102	410.0	0.05
1103	2390.0	0.05
1104	1570.0	0.05
1105	820.0	0.05
1106	1170.0	0.05
1107	570.0	0.05
1108	1960.0	0.05
1109	760.0	0.05
1110	730.0	0.05
1111	810.0	0.05
1112	1250.0	0.05
1113	1780.0	0.05
1114	800.0	0.05
1115	830.0	0.05
1116	1100.0	0.05
1117	870.0	0.05
1118	1260.0	0.05
1119	940.0	0.05
1120	640.0	0.05
1121	1280.0	0.05
1122	530.0	0.05
1123	560.0	0.05
1124	590.0	0.05
1125	700.0	0.05
1126	600.0	0.05
1127	550.0	0.05
1128	810.0	0.05
1129	1160.0	0.05
1130	940.0	0.05
1131	760.0	0.05
1132	770.0	0.05
1133	920.0	0.05
1134	880.0	0.05
1135	1120.0	0.05
1136	1120.0	0.05
1137	710.0	0.05
1138	820.0	0.05
1139	200.0	0.05
1140	500.0	0.05
1141	810.0	0.05
1142	980.0	0.05
1143	1960.0	0.05
1144	1170.0	0.05
1145	350.0	0.05
1146	670.0	0.05
1147	1390.0	0.05
1148	1070.0	0.05
1149	740.0	0.05
1150	730.0	0.05
1151	940.0	0.05
1152	2120.0	0.05
1153	1690.0	0.05
1154	1120.0	0.05
1155	1990.0	0.05
1156	1030.0	0.05
1157	2810.0	0.05
1158	1040.0	0.05
1159	530.0	0.05
1160	1210.0	0.05
1161	3740.0	0.05
1162	1150.0	0.05
1163	750.0	0.05
1164	900.0	0.05
1165	1740.0	0.05
1166	1930.0	0.05
1167	600.0	0.05
1168	680.0	0.05
1169	1220.0	0.05
1170	920.0	0.05
1171	1980.0	0.05
1172	740.0	0.05
1173	720.0	0.05
1174	310.0	0.05
1175	1000.0	0.05
1176	2390.0	0.05
1177	1240.0	0.05
1178	710.0	0.05
1179	640.0	0.05
1180	1240.0	0.05
1181	890.0	0.05
1182	930.0	0.05
1183	730.0	0.05
1184	1530.0	0.05
1185	1480.0	0.05
1186	890.0	0.05
1187	690.0	0.05
1188	1110.0	0.05
1189	490.0	0.05
1190	1230.0	0.05
1191	1290.0	0.05
1192	390.0	0.05
1193	1220.0	0.05
1194	1430.0	0.05
1195	3190.0	0.05
1196	860.0	0.05
1197	1030.0	0.05
1198	580.0	0.05
1199	1670.0	0.05
1200	750.0	0.05
1201	1350.0	0.05
1202	1290.0	0.05
1203	980.0	0.05
1204	750.0	0.05
1205	840.0	0.05
1206	1550.0	0.05
1207	570.0	0.05
1208	950.0	0.05
1209	1590.0	0.05
1210	1360.0	0.05
1211	570.0	0.05
1212	940.0	0.05
